iter	Passed	Remaining
666	3678	1836
667	3683	1830
668	3688	1824
669	3693	1819
670	3698	1813
671	3703	1807
672	3708	1801
673	3712	1795
674	3717	1790
675	3722	1784
676	3727	1778
677	3732	1772
678	3737	1766
679	3742	1760
680	3747	1755
681	3752	1749
682	3757	1743
683	3762	1738
684	3768	1732
685	3773	1727
686	3779	1721
687	3784	1716
688	3789	1710
689	3794	1704
690	3799	1698
691	3803	1693
692	3808	1687
693	3813	1681
694	3818	1675
695	3823	1669
696	3828	1664
697	3832	1658
698	3837	1652
699	3842	1646
700	3846	1640
701	3851	1634
702	3856	1629
703	3860	1623
704	3865	1617
705	3869	1611
706	3875	1606
707	3879	1600
708	3884	1594
709	3890	1588
710	3895	1583
711	3900	1577
712	3905	1571
713	3909	1566
714	3914	1560
715	3919	1554
716	3924	1548
717	3929	1543
718	3935	1537
719	3940	1532
720	3946	1527
721	3951	1521
722	3957	1516
723	3961	1510
724	3966	1504
725	3972	1499
726	3977	1493
727	3982	1487
728	3987	1482
729	3991	1476
730	3996	1470
731	4001	1464
732	4006	1459
733	4010	1453
734	4015	1447
735	4020	1442
736	4025	1436
737	4030	1430
738	4034	1424
739	4039	1419
740	4044	1413
741	4048	1407
742	4053	1402
743	4058	1396
744	4062	1390
745	4067	1385
746	4072	1379
747	4076	1373
748	4081	1367
749	4086	1362
750	4092	1356
751	4097	1351
752	4102	1345
753	4107	1340
754	4112	1334
755	4117	1328
756	4121	1323
757	4126	1317
758	4131	1311
759	4135	1306
760	4140	1300
761	4145	1294
762	4150	1289
763	4154	1283
764	4159	1277
765	4163	1272
766	4168	1266
767	4173	1260
768	4178	1255
769	4183	1249
770	4188	1243
771	4192	1238
772	4198	1232
773	4202	1227
774	4207	1221
775	4212	1215
776	4216	1210
777	4221	1204
778	4225	1198
779	4230	1193
780	4235	1187
781	4240	1182
782	4244	1176
783	4249	1170
784	4254	1165
785	4258	1159
786	4263	1153
787	4269	1148
788	4274	1143
789	4279	1137
790	4284	1132
791	4289	1126
792	4295	1121
793	4299	1115
794	4304	1110
795	4309	1104
796	4315	1099
797	4319	1093
798	4324	1087
799	4329	1082
800	4334	1076
801	4339	1071
802	4343	1065
803	4348	1060
804	4353	1054
805	4358	1048
806	4362	1043
807	4367	1037
808	4372	1032
809	4377	1026
810	4381	1021
811	4386	1015
812	4391	1010
813	4396	1004
814	4401	999
815	4406	993
816	4410	987
817	4415	982
818	4420	976
819	4425	971
820	4431	966
821	4436	960
822	4441	955
823	4446	949
824	4451	944
825	4456	938
826	4461	933
827	4466	927
828	4471	922
829	4475	916
830	4481	911
831	4486	906
832	4492	900
833	4497	895
834	4501	889
835	4506	884
